connections,requests,replies,test_duration,connection_rate,connection_time_min,connection_time_avg,connection_time_max,connection_time_median,connection_time_stddev,connection_time,conn_length,request_rate,reply_rate_min,reply_rate_avg,reply_rate_max,reply_rate_stddev,reply_time_response,reply_time_tranfer,1xx_codes,2xx_codes,3xx_codes,4xx_codes,5xx_codes,cpu_user,cpu_system,net_io,error_total,error_cli_timo,error_socket_timo,error_conn_refused,error_conn_reset,error_fd_unavail,error_addrunavail,error_ftab-full,error_other,demanded_rate
500.0,5000.0,5000.0,26.0,18.0,40.0,45.0,6091.0,50.0,2020.0,1.0,10.0,186.0,120.0,179.0,200.0,34.0,4.0,0.0,0.0,5000.0,0.0,0.0,0.0,4.0,22.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
500.0,5000.0,5000.0,12.0,39.0,40.0,48.0,86.0,46.0,5.0,1.0,10.0,399.0,399.0,399.0,400.0,0.0,4.0,0.0,0.0,5000.0,0.0,0.0,0.0,2.0,9.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
500.0,5000.0,5000.0,8.0,59.0,52.0,83.0,191.0,73.0,27.0,1.0,10.0,597.0,594.0,594.0,594.0,0.0,8.0,0.0,0.0,5000.0,0.0,0.0,0.0,1.0,7.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0
500.0,4337.8,4251.6,9.4,56.0,88.4,912.0,4091.2,282.4,1203.8,1.0,9.0,730.0,330.6,737.0,743.4,291.6,67.4,0.0,0.0,4243.8,0.0,0.0,7.8,0.0,8.6,191.0,86.2,78.4,0.0,0.0,7.8,0.0,0.0,0.0,0.0,800.0
500.0,4607.727272727273,4563.363636363636,6.181818181818182,76.0909090909091,88.9090909090909,1311.3636363636363,2473.090909090909,1511.5454545454545,727.0,1.0,9.727272727272727,726.0,746.4545454545455,746.4545454545455,746.4545454545455,0.0,117.27272727272727,0.0,0.0,4562.909090909091,0.0,0.0,0.45454545454545453,0.0,5.818181818181818,273.54545454545456,44.36363636363637,43.90909090909091,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,1000.0
500.0,4964.272727272727,4960.272727272727,5.363636363636363,81.63636363636364,104.81818181818181,1796.1818181818182,2929.5454545454545,1987.2727272727273,752.8181818181819,0.9090909090909091,9.909090909090908,780.2111,815.4545454545455,815.4545454545455,815.4545454545455,0.0,177.8181818181818,0.0,0.0,4960.181818181818,0.0,0.0,0.0,0.0,5.2727272727272725,309.1818181818182,4.0,3.909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.8181818181818
500.0,4996.727272727273,4996.363636363636,6.636363636363637,71.81818181818181,117.54545454545455,2601.181818181818,4478.181818181818,2751.7272727272725,1156.909090909091,0.36363636363636365,9.909090909090908,723.1818181818181,757.4545454545455,790.8181818181819,824.1818181818181,47.18181818181818,259.3636363636364,0.0,0.0,4996.363636363636,0.0,0.0,0.0,0.0,6.545454545454546,273.8181818181818,0.36363636363636365,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.090909090909
500.0,4911.666666666667,4861.833333333333,9.0,58.0,154.33333333333334,3541.166666666667,7526.333333333333,4174.833333333333,2275.0,0.3333333333333333,9.333333333333334,747.0,471.6666666666667,597.8333333333334,761.5,188.5,355.3333333333333,0.0,0.0,4858.0,0.0,0.0,3.8333333333333335,0.0,8.833333333333334,217.0,49.833333333333336,47.166666666666664,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,1563.3333333333333
500.0,4985.166666666667,4976.833333333333,6.166666666666667,75.16666666666667,198.66666666666666,4216.5,5131.166666666667,3686.5,1292.8333333333333,0.16666666666666666,9.833333333333334,765.6666666666666,791.8333333333334,782.8333333333334,810.1666666666666,31.333333333333332,421.0,0.0,0.0,4976.333333333333,0.0,0.0,0.5,0.0,6.0,285.6666666666667,8.166666666666666,7.833333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1760.5
500.0,5000.0,5000.0,5.8,80.4,299.8,4495.8,4541.2,3820.2,922.8,0.2,10.0,767.2,818.0,818.0,818.0,0.0,452.2,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,5.6,305.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
